NUM_ENTRIES, DATA_LENGTH, abstraction_time, transform_time, eval_time, check_time
 8, 16, 404826, 773014, 11953, 5176
 16, 16, 822202, 1529253, 22967, 5182
 32, 16, 1651034, 3031020, 55076, 5688
 8, 32, 882831, 1553475, 24243, 5270
 16, 32, 1753506, 3044401, 51076, 5789
 32, 32, 3515629, 6045534, 124876, 5701
 8, 64, 1890804, 3120915, 58061, 5969
 16, 64, 3806015, 6133960, 129980, 5585
 32, 64, 7499715, 11811721, 339274, 5185
 8, 128, 4108775, 6227167, 161854, 5615
 16, 128, 8210272, 12328933, 382638, 5574
 32, 128, 16377366, 24525164, 1047073, 5599
