NUM_ENTRIES, DATA_LENGTH, abstraction_time, transform_time, eval_time, check_time
 4, 2, 58885, 69909, 5692, 5222
 8, 2, 98357, 117388, 11678, 5362
 4, 4, 106126, 121840, 14524, 5315
 8, 4, 167836, 238551, 67619, 6269
 4, 8, 180576, 247280, 65453, 5883
 8, 8, 331812, 870223, 7667396, 5961
 4, 16, 363814, 708752, 1925573, 6007
 2, 2, 28190, 39766, 4515, 5962
 2, 4, 62376, 69606, 6189, 5125
 2, 8, 111656, 119271, 16897, 5195
 2, 16, 202226, 244296, 50509, 5864
 2, 32, 408947, 473248, 467652, 5893
 2, 64, 894795, 964095, 5640172, 6303
 2, 128, 1959388, 2034817, 79018028, 405622
 4, 32, 788923, 11380934, 82398524, 6273
